a art#一(个)；每一(个)
abandon #丢弃；放弃，抛弃
ability #能力；能耐，本领
able #有能力的；出色的
abnormal #不正常的；变态的
aboard #在船(车)上；上船
about #关于；在…周围
above #在…上面；高于
abroad #(在)国外；到处
absence #缺席，不在场；缺乏
absent #不在场的；缺乏的
absolute #绝对的；纯粹的
absolutely #完全地；绝对地
absorb #吸收；使专心
abstract #抽象的 #摘要
abundant #丰富的；大量的
abuse #滥用；虐待 #滥用
academic #学院的；学术的
academy #私立中学；专科院校
accelerate #(使)加快；促进
acceleration #加速；加速度
accent #口音，腔调；重音
accept ##接受；同意
acceptable #可接受的，合意的
acceptance #接受，验收；承认
access #接近；通道，入口
accessory #同谋，从犯；附件
accident #意外的；事故
accidental #偶然的；非本质的
accommodate #容纳；供应，供给
accommodation #招待设备；预定铺位
accompany #陪伴，陪同；伴随
accomplish #达到(目的)；完成
accord #使一致；给予
accordance #一致；和谐；授予
accordingly #因此，所以；照着
account #记述；解释；帐目
accumulate #积累 #堆积
accuracy #准确(性)；准确度
accurate #准确的，正确无误的
accuse #指责；归咎于
accustom #使习惯
accustomed #惯常的；习惯的
ache #痛；想念 #疼痛
achieve #完成，实现；达到
achievement #完成；成就，成绩
acid #酸；酸的，酸性的
acquaintance #认识；了解；熟人
acquire #取得；获得；学到
acre #英亩(=6#07亩)
across #横过；在…对面
act #行动；见效 #行为
action #行动；作用；功能
active #活跃的；积极的
activity #活动；活力；行动
actor #男演员；演剧的人
actress #女演员
actual #实际的；现行的
actually #实际上；竟然
acute #尖的，锐的；敏锐的
ad #广告
adapt #使适应；改编
add #添加，附加，掺加
addition #加，加法；附加物
additional #附加的，追加的
address #地址；演说；谈吐
adequate #足够的；可以胜任的
adjective #形容词 #形容词的
adjust #调整，调节；校正
administration #管理；管理部门
admire #钦佩，羡慕，赞赏
admission #允许进入；承认
admit #承认；准许…进入
adopt #收养；采用；采取
adult #成年人 #成年的
advance #前进；提高 #进展
advanced #先进的；高级的
advantage #优点，优势；好处
adventure #冒险；惊险活动
adverb #副词
advertisement #广告；公告；登广告
advice #劝告；忠告；意见
advisable #明智的；可取的
advise #劝告；建议；通知
aeroplane #飞机
affair #事情，事件；事务
affect #影响；感动
affection #慈爱，爱；爱慕
afford #担负得起…；提供
afraid #害怕的；担心的
Africa #非洲
African #非洲的 #非洲人
after #在…以后；次于
afternoon #下午，午后
afterward #后来，以后
again #又一次；而且
against #倚在；逆，对着
age #年龄；时代 #变老
agency #经办；代理；代理处
agent #代理人，代理商
